n,time_ms
1024,0.009248
2048,0.007456
4096,0.007168
8192,0.007168
16384,0.012064
32768,0.01536
65536,0.027648
131072,0.046816
262144,0.088096
524288,0.166976
1048576,0.328544
2097152,0.652256
4194304,1.28922
8388608,2.59379
16777216,5.15405
33554432,10.3045
67108864,20.5711
134217728,41.0307
268435456,81.7172
536870912,165.171
