n,time_ms
1024,0.02048
2048,0.019456
4096,0.020416
8192,0.019456
16384,0.019456
32768,0.019456
65536,0.03584
131072,0.051296
262144,0.100352
524288,0.183296
1048576,0.35536
2097152,0.697344
4194304,1.37706
8388608,2.79347
16777216,5.56438
33554432,11.092
67108864,22.1306
134217728,44.2325
268435456,85.2336
536870912,170.815
