N,time_ms
1024,0.011232
2048,0.010240
4096,0.009312
8192,0.009408
16384,0.009216
32768,0.009216
65536,0.009216
131072,0.010240
262144,0.011264
524288,0.017408
1048576,0.022528
2097152,0.031744
4194304,0.052224
8388608,0.091264
16777216,0.216352
33554432,0.417792
67108864,0.821248
134217728,1.631232
268435456,3.244032
536870912,6.979584
