t,time_ms
1,.40155530000000000000
2,.26442260000000000000
3,.21827790000000000000
4,.24142020000000000000
5,.23283100000000000000
6,.24239410000000000000
7,.24978060000000000000
8,.31074920000000000000
9,.34900740000000000000
10,.37597890000000000000
