n,time_ms
2,0.03361
4,0.033632
8,0.043042
16,0.034582
32,0.04505
64,0.057112
128,0.05745
256,0.06929
512,0.071141
1024,3.03886
2048,0.0712
4096,0.09391
8192,2.69717
16384,2.92034
32768,2.36596
65536,2.80454
131072,2.69974
262144,3.00938
524288,3.98223
1048576,5.40538
2097152,7.50814
4194304,9.4592
8388608,20.76
16777216,37.2237
33554432,71.942
