N,time_ms
1024,0.012288
2048,0.010240
4096,0.010432
8192,0.010432
16384,0.013312
32768,0.011296
65536,0.010528
131072,0.012288
262144,0.014368
524288,0.018720
1048576,0.027648
2097152,0.046080
4194304,0.079968
8388608,0.155584
16777216,0.331776
33554432,0.649216
67108864,1.279200
134217728,2.528416
268435456,5.036032
536870912,10.185728
1073741824,20.219648
