n,time_ms
1024,0.049152
2048,0.047424
4096,0.049152
8192,0.049152
16384,0.051200
32768,0.050208
65536,0.051072
131072,0.050496
262144,0.050720
524288,0.051232
1048576,0.050944
2097152,0.051904
4194304,0.050496
8388608,0.048832
16777216,0.206144
33554432,0.420832
67108864,0.835232
134217728,1.635296
268435456,3.238144
536870912,6.909632
1073741824,13.322176
