threads,time_ms
1,67.2407
2,35.9488
3,37.0928
4,31.7825
5,27.9947
6,22.5102
7,23.2374
8,22.9563
9,21.9321
10,19.3355
11,20.5524
12,17.7194
13,18.0873
14,17.9296
15,18.3146
16,17.1756
17,17.2611
18,18.0604
19,16.9077
20,17.5975
