threads,time_ms
1,690.864
2,356.239
3,243.13
4,183.565
5,147.214
6,123.163
7,105.572
8,94.0715
9,162.112
10,113.703
11,133.377
12,122.253
13,113.48
14,105.752
15,99.7057
16,93.2872
17,88.7362
18,83.2158
19,78.8805
20,75.2013
